Wavelength,Region0,Region1,Region2,Region3
416.296,0.195103,0.260088,0.405258,0.372923
416.935,0.18279,0.335601,0.378934,0.384397
417.574,0.18356,0.304394,0.373389,0.400648
418.213,0.199071,0.308097,0.398839,0.370862
418.852,0.161172,0.344716,0.382366,0.379832
419.491,0.175952,0.2915,0.345424,0.416423
420.13,0.173065,0.302698,0.378059,0.349075
420.769,0.177973,0.314685,0.383707,0.348485
421.408,0.19112,0.330833,0.398588,0.370238
422.047,0.175459,0.328601,0.384572,0.352737
422.686,0.18565,0.331649,0.365921,0.359959
423.325,0.182011,0.295389,0.422723,0.386073
423.964,0.185222,0.363641,0.381876,0.385789
424.603,0.199777,0.294659,0.38778,0.376097
425.242,0.171035,0.298307,0.400468,0.369081
425.881,0.170028,0.339302,0.395052,0.390004
426.52,0.178727,0.287503,0.402337,0.374396
427.159,0.155426,0.296279,0.397142,0.385737
427.798,0.187551,0.307492,0.435237,0.390802
428.437,0.165681,0.316042,0.389877,0.402472
429.076,0.16773,0.31503,0.416867,0.406054
429.715,0.169974,0.30329,0.40233,0.393745
430.354,0.179673,0.258079,0.412134,0.40866
430.993,0.176872,0.302222,0.382978,0.404332
431.632,0.179415,0.295437,0.368846,0.366268
432.271,0.176708,0.273197,0.380088,0.411845
432.91,0.180965,0.302777,0.435627,0.386066
433.549,0.171369,0.293368,0.373499,0.413717
434.188,0.172167,0.296053,0.384565,0.405244
434.827,0.184789,0.300688,0.359417,0.388896
435.466,0.18077,0.309655,0.387573,0.446738
436.106,0.200124,0.305522,0.402282,0.388994
436.745,0.187972,0.294122,0.414658,0.369814
437.384,0.186388,0.267122,0.356491,0.367566
438.023,0.173121,0.308918,0.370153,0.414644
438.662,0.188345,0.264959,0.385028,0.369701
439.301,0.195971,0.30184,0.381076,0.378912
439.94,0.190654,0.307978,0.345568,0.386358
440.579,0.182243,0.27401,0.403718,0.38922
441.218,0.171751,0.30036,0.376022,0.400578
441.857,0.206169,0.29811,0.390968,0.385412
442.496,0.189278,0.29554,0.374952,0.379316
443.135,0.191359,0.291876,0.39285,0.405932
443.774,0.196917,0.301972,0.377087,0.337728
444.413,0.197827,0.251937,0.405586,0.377114
445.052,0.206225,0.285942,0.381705,0.405897
445.691,0.193342,0.277318,0.371694,0.375378
446.33,0.208044,0.296789,0.417332,0.353424
446.969,0.209606,0.286894,0.363827,0.383588
447.608,0.220685,0.316658,0.387225,0.364046
448.247,0.219647,0.292583,0.37451,0.373619
448.886,0.218892,0.273727,0.397474,0.387281
449.525,0.221817,0.314021,0.423381,0.376802
450.164,0.237724,0.279668,0.390739,0.38488
450.803,0.218128,0.288386,0.404887,0.369034
451.442,0.228296,0.288217,0.388643,0.406558
452.081,0.243674,0.307175,0.401435,0.38261
452.72,0.255248,0.278287,0.378497,0.385644
453.359,0.236085,0.314666,0.400697,0.417516
453.998,0.246718,0.281147,0.391892,0.398385
454.637,0.219731,0.284906,0.370466,0.403764
455.276,0.238973,0.28377,0.392505,0.360769
455.915,0.237781,0.276238,0.399948,0.382465
456.555,0.26034,0.251804,0.389586,0.389268
457.194,0.221241,0.273992,0.413063,0.354061
457.833,0.258668,0.278706,0.383542,0.36017
458.472,0.250353,0.274849,0.414871,0.369139
459.111,0.268667,0.28877,0.387733,0.43206
459.75,0.251833,0.261538,0.422891,0.391409
460.389,0.26492,0.281589,0.392464,0.360971
461.028,0.2653,0.283646,0.378107,0.376341
461.667,0.260294,0.281535,0.386686,0.379183
462.306,0.282834,0.277985,0.370591,0.357495
462.945,0.260452,0.302308,0.388302,0.386979
463.584,0.271576,0.262098,0.365265,0.385644
464.223,0.254977,0.303843,0.389365,0.383345
464.862,0.253999,0.285226,0.378168,0.421609
465.501,0.255053,0.259811,0.364312,0.363125
466.14,0.259274,0.262762,0.374923,0.368835
466.779,0.253657,0.281222,0.380926,0.382135
467.418,0.247001,0.268288,0.381468,0.422543
468.057,0.265349,0.282028,0.392167,0.374541
468.696,0.238403,0.267868,0.359401,0.385705
469.335,0.249927,0.28736,0.387149,0.403191
